phase,preprocessing,feature_set,representation,classifier,fit_warning,label,iterations,max_iter,converged
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Psicología,26,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Química,27,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Relaciones Internacionales,29,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Sociología,30,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Trabajo Social,27,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Urbanismo,27,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Zoología,29,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Antropología,20,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Arquitectura,26,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Astronomía,23,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Bellas Artes,24,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Bibliotecología,25,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Biología,21,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Ciencias Agrarias,21,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Ciencias Astronómicas,21,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Ciencias Económicas,21,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Ciencias Exactas,26,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Ciencias Informáticas,24,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Ciencias Jurídicas,24,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Ciencias Médicas,21,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Ciencias Naturales,25,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Ciencias Sociales,25,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Ciencias Veterinarias,21,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Ciencias de la Educación,26,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Comunicación,23,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Comunicación Social,22,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Educación,25,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Educación Física,23,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c05_tol1e4,,Filosofía,23,200000,True
